Region Code,Local Authority,Pupils whose first language is English(8),Pupils whose first language is other than English(9),All pupils(10),Pupils known to be eligible for free school meals,All other pupils(8),All pupils,Disadvantaged pupils(1),All other pupils(9),All pupils,Pupils with no identified SEN,SEN support,SEN with a statement or EHC plan,All pupils(9),Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil3,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass5,Percentage of pupils who achieved a standard 9-4 pass 5,Overall absence,Percentage of persistent absentees
E06000037,West Berkshire,1657,100,1790,94,1696,1790,258,1532,1790,1489,193,76,1790,1790,47.4,96.3,47.8,68.8,4,8.3
E10000032,West Sussex,7135,647,7782,513,7269,7782,1329,6453,7782,6368,1163,251,7782,7782,46.8,96.9,45.3,66,4.5,10
E06000040,Windsor and Maidenhead,1321,221,1547,122,1425,1547,253,1294,1547,1296,180,71,1547,1547,49.4,97.6,50.1,72.6,4.3,8.8
E06000041,Wokingham,1400,242,1642,88,1554,1642,200,1442,1642,1432,140,70,1642,1642,51.7,97.7,55.1,76.5,4.1,8.3
,,,,,,,,,,,,,,,,,,,,,
E12000009,South West,47445,2759,50308,5185,45123,50308,10640,39668,50308,43017,5375,1851,50308,50308,46.2,96.7,42.2,64.1,4.7,10.7
E06000022,Bath and North East Somerset,1921,80,2001,157,1844,2001,337,1664,2001,1736,186,79,2001,2001,47.5,89.1,41.9,63.4,4.9,11
E06000028,Bournemouth,1413,185,1611,200,1411,1611,394,1217,1611,1355,197,58,1611,1611,48,96,47.8,68.3,4.7,10.6
E06000023,"Bristol, City of",2653,579,3236,585,2651,3236,1156,2080,3236,2668,405,163,3236,3236,44,96.4,41,59.3,5.4,14.3
E06000052,Cornwall,5039,93,5133,546,4587,5133,1253,3880,5133,4434,528,171,5133,5133,45.7,97.5,38.4,60.9,4.7,11
E10000008,Devon,6490,209,6704,750,5954,6704,1274,5430,6704,5680,727,294,6704,6704,46.5,96,42.5,65,4.3,8.9
E10000009,Dorset,3868,118,3988,485,3503,3988,718,3270,3988,3384,479,124,3988,3988,45.2,97.4,39.6,63.4,4.7,11
E10000013,Gloucestershire,5837,324,6165,479,5686,6165,1065,5100,6165,5396,563,205,6165,6165,48.4,97.3,46.2,68,4.6,10.4
E06000053,Isles of Scilly,19,0,19,x,x,19,x,x,19,11,x,x,19,19,45,x,x,84.2,4.6,6.6
E06000024,North Somerset,2017,69,2086,198,1888,2086,433,1653,2086,1867,183,36,2086,2086,46,97.6,43.9,67.9,4.7,10.5
E06000026,Plymouth,2382,133,2515,348,2167,2515,686,1829,2515,2192,199,124,2515,2515,44.5,97.6,38.1,58.9,4.6,10.6
E06000029,Poole,1254,78,1341,x,x,1341,x,x,1341,1089,214,38,1341,1341,51.5,97.7,54,72.9,4.5,9.8
E10000027,Somerset,4623,214,4837,420,4417,4837,993,3844,4837,4273,467,97,4837,4837,45.7,98.1,40.2,63.6,4.6,10.3
E06000025,South Gloucestershire,2451,135,2586,174,2412,2586,428,2158,2586,2191,295,100,2586,2586,43.7,96.9,39.5,62.3,4.8,11.1
E06000030,Swindon,1744,287,2038,224,1814,2038,493,1545,2038,1650,254,131,2038,2038,42.9,95.4,35.7,60,4.4,10
E06000027,Torbay,1204,56,1316,198,1118,1316,351,965,1316,992,x,x,1316,1316,49.3,x,x,67.3,5,12.5
E06000054,Wiltshire,4530,199,4732,317,4415,4732,825,3907,4732,4099,473,160,4732,4732,46.6,96.6,43.5,64.8,4.7,10.3
